།	punc -
ཀ	d.det -	skt -
ཀ་	d.det -	n.count -
ཀ་ཀུ་ཏ་	n.prop -
ཀ་ཆུ་	n.prop -
ཀ་ཆུ་བ	n.prop -
ཀ་ཆུ་བ་ཚུལ་འབྱུང་	n.prop -
ཀ་ཆུ་བན་ཆུང་	n.prop -
ཀ་ན་ཀ་ཝརྨ་	n.prop -
ཀ་ན་ཀ་ཝརྨྨ་	n.prop -
ཀ་ནི་ཀ	n.prop -
ཀ་པ་ལ་ཕྱག་	n.count -
ཀ་མ་ལ་གུཔྟ་	n.prop -
ཀ་མ་ལ་ཤཱི་ལ	n.prop -
ཀ་མ་ལ་ཤཱི་ལ་	n.prop -
ཀ་མ་ལ་ཤཱི་ལ་པདྨའི་ངང་ཚུལ་	n.prop -
ཀ་ཙ་ལ་ཧ	n.prop -
ཀ་ཚལ་	n.prop -
ཀ་རཱ་ཌེ	skt -
ཀ་ལ་བིད་ཀ	n.count -
ཀ་ལན་ད་ཀ	n.prop -
ཀ་ལཱ་པ་	n.prop -
ཀ་ལིང་	n.prop -
ཀ་ལིང་ག་	n.prop -
ཀ་ལླྱ་མི་ཏྲ་དགེ་བའི་བཤེས་གཉེན་	n.prop -
ཀ་ཤི	n.prop -
ཀ་ཤི་	n.prop -
ཀ་ཤི་ཀ	n.prop -
ཀ་ཤིར་སྐྱེས་པ་	n.prop -
ཀ་ཧྣ་པ་	n.prop -
ཀར་ཤ་པ་ཎ་	n.count -
ཀརཥ་པ་	n.count -
ཀརྨྨ་བཛྲ་	n.prop -
ཀཱ་ཏྱའི་བུ	n.prop -
ཀཱ་ཏྱཱ་ཡ་ན	n.prop -
ཀཱ་ཏྱཱ་ཡ་ན་	n.prop -
ཀཱ་ཡ	n.count -
ཀཱ་རི་ཀཱ་	n.count -
ཀུ་ཅོ་	n.count -
ཀུ་མ་ར་ཏ་	n.prop -
ཀུ་མཱ་ར་	n.prop -
ཀུ་རེ་	n.count -
ཀུ་ཤ	n.count -
ཀུ་ས་ར་	n.prop -
ཀུ་སུ་ལུ་	n.count -
ཀུ་སྨ་པུ་རི	n.prop -
ཀུན	d.plural -
ཀུན་	d.plural -
ཀུན་གཞི་	n.count -
ཀུན་གྱི་བཤེས་གཉེན་	n.prop -
ཀུན་གྱིས་བཀུར་བ	n.prop -
ཀུན་གྱིས་བཀུར་བ་	n.prop -
ཀུན་གྱིས་སྲུངས་	n.prop -
ཀུན་ཏུ་བཟང་པོ	n.prop -
ཀུན་ཏུ་བཟང་པོ་	n.prop -
ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པ་སྟོན་པའི་མདོ་	n.prop -
ཀུན་ཏུ་བཟང་མོ་	n.prop -
ཀུན་ཏུ་རྒྱུ་	n.count -
ཀུན་ཏུ་རྒྱུ་གནག་ལྷས་ཀྱི་བུ་	n.prop -
ཀུན་ཏུ་རྒྱུ་རབ་བཟང་	n.prop -
ཀུན་ཏུ་སྣང་བ	n.prop -
ཀུན་ཏུ་སྣང་བ་	n.prop -
ཀུན་དགའ་	n.prop -
ཀུན་དགའ་པོ་	n.prop -
ཀུན་དགའ་བོ	n.prop -
ཀུན་དགའ་བོ་	n.prop -
ཀུན་དགའ་བོའི་མདོ་	n.prop -
ཀུན་དགའ་ར་བ	n.count -
ཀུན་དགའ་ར་བ་འདམ་བུ་ཅན་	n.prop -
ཀུན་དགའ་ར་བ་ལམ་	n.prop -
ཀུན་དགའ་སྙིང་པོ	n.prop -
ཀུན་ནས་ཡོངས་སུ་དག་པ	n.prop -
ཀུན་པ་ན་	n.prop -
ཀུན་བཏགས་	n.count -
ཀུན་བཏུས་	n.prop -
ཀུན་བཏུས་འགྲེལ་པ	n.prop -
ཀུན་བཤད་པ་	n.count -
ཀུན་མཁྱེན་རྒྱལ་བ	n.count -
ཀུན་མཁྱེན་སྦྲམ་རྩི་	n.count -
ཀུན་འབྱུང་	n.count -
ཀུན་འཛིན་	n.prop -
ཀུན་རྒྱལ་	n.prop -
ཀུན་རྟེན་	n.count -
ཀུན་རྟོག་	n.count -
ཀུན་རྫོབ་	n.count -
ཀུན་རྫོབ་སེམས་བསྐྱེད་	n.count -
ཀུན་ལས་བཏུས་	n.prop -
ཀུན་ལས་བཏུས་ཀྱི་འགྲེལ་པ	n.prop -
ཀུན་ཤེས	n.prop -
ཀུན་ཤེས་	n.prop -
ཀུན་སྤྱོད་	n.count -
ཀུན་སྤྱོད་འཕགས་པ་	n.count -
ཀེ་བང་	n.prop -
ཀེ་ཡུ་རེ	skt -
ཀེམ་མོ་	dunno -
ཀོ་ཁྱིམ་པ་ཡེ་ཤེས་བླ་མ	n.prop -
ཀོ་བ་	n.count -
ཀོ་ས་ལ	n.prop -
ཀོང་པོ	n.prop -
ཀོང་པོ་ཐར་པ་རིན་ཆེན་	n.prop -
ཀོང་པོ་བུ་ཆུ	n.prop -
ཀོང་པོ་ཡེ་འབྱུང་	n.prop -
ཀོང་བུ་	n.count -
ཀོང་བུ་མཚོ	n.count -
ཀོང་ཚོ་	n.prop -
ཀོའུ་ཤཱམ་བཱི	n.prop -
ཀཽ་ཎྜི་ནྱ	n.prop -
ཀཽ་ཎྜི་ནྱ་	n.prop -
ཀཽ་ཤི་ཀ་	n.prop -
ཀཽཤཱམ་བཱི	n.prop -
ཀྱང	cl.focus -
ཀྱང་	cl.focus -
ཀྱལ་ཀ	n.count -
ཀྱཱ་ཏྱཱའི་བུ་ནོག་ཅན་	n.prop -
ཀྱི	case.gen -	cv.gen -
ཀྱི་	case.gen -	cv.gen -
ཀྱི་ཁ་ཆད་	n.prop -
ཀྱི་བཙུན་དཔལ་གྱི་ཡེ་ཤེས་	n.prop -
ཀྱི་མཚོ་སྟོད་པ་	n.prop -
ཀྱི་ཚོ་བར་པ་	n.prop -
ཀྱི་ཚོ་སྟོད་	n.prop -
ཀྱི་ཚོ་སྨད་པ་	n.prop -
ཀྱི་ཡེ་ཤེས་དབང་པོ	n.prop -
ཀྱི་རྡོ་རྗེ	n.prop -
ཀྱིས	case.agn -	cv.agn -
ཀྱིས་	case.agn -	cv.agn -
ཀྱེ་	interj -
ཀྱེ་མ་	interj -
ཀྱེ་རྡོ་རྗེ་གུར	n.prop -
ཀྱེ་རྡོ་རྗེའི་རྒྱུད་	n.prop -
ཀྲེ་བོ་མཆོག་བླ་	n.prop -
ཀྲོ་དྷ་བ་	n.prop -
ཀྲྀ་ཥྞ་ས་ར	n.count -
ཀྲྀཏ་	skt -
ཀླག་པ་ལམ་པ་	n.prop -
ཀླད་པ་རྣམ་པ	n.count -
ཀླན་ཀ་	n.count -
ཀླུ	n.count -	n.prop -
ཀླུ་	n.count -	n.prop -
ཀླུ་ཀུན་ཏུ་དགའ་བའི་ཟློས་གར་	n.prop -
ཀླུ་གོང་	n.prop -
ཀླུ་དབྱངས་	n.count -
ཀླུ་བོས་	n.prop -
ཀླུ་མགོ	n.count -
ཀླུ་མེ	n.prop -
ཀླུ་མེས་	n.prop -
ཀླུ་མེས་ཚུལ་ཁྲིམས་	n.prop -
ཀླུ་མོ	n.count -
ཀླུ་རིགས་སྒྲོན་མ	n.prop -
ཀླུ་སྐར་རྒྱལ་	n.prop -
ཀླུ་སྒྲུབ	n.prop -
ཀླུ་སྒྲུབ་	n.count -	n.prop -
ཀླུ་སྡེ	n.prop -
ཀླུང་	n.count -
ཀླུའི་བྱང་ཆུབ་	n.prop -
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོས་ཞུས་པའི་མདོ་	n.prop -
ཀླུའི་རྒྱལ་མཚན་	n.prop -
ཀླུའི་སྡེ་	n.prop -
ཀློ་སྒྲུབ་	n.prop -
ཀློག་	v.pres -
ཀློག་པ་	n.v.pres -
ཀློག་སྐྱ་ཤེས་རབ་བརྩེགས་	n.prop -
ཀློང་ཐང་	n.prop -
ཁ	n.count -	n.rel -
ཁ་	d.det -	n.count -	p.indef -
ཁ་ཁ་	n.count -
ཁ་གསག་	n.count -
ཁ་གེ	skt -
ཁ་ཆད་	n.prop -
ཁ་ཆར་	n.count -
ཁ་ཆེ	n.count -	n.prop -
ཁ་ཆེ་	n.prop -
ཁ་ཆེ་བ་	n.count -
ཁ་ཆེ་བྱེ་བྲག་ཏུ་སྨྲ་བ་	n.prop -
ཁ་ཆེ་ཛྙཱ་ན་ཤྲཱི་	n.prop -
ཁ་ཆེམས་	n.count -
ཁ་ཊྭཾ་ག་	n.count -
ཁ་ཏི་བི་ཧ་ར	n.prop -
ཁ་ཏོན་	n.count -
ཁ་ཐིག་	n.count -
ཁ་དོག་	n.count -
ཁ་ན་མ་ཐོ་མེད	adj -
ཁ་ཕ་བོང་	n.count -
ཁ་བ་	n.mass -
ཁ་བ་ཅན	n.count -
ཁ་བཤད་	n.count -
ཁ་བྱང་ཆུབ་སྙིང་པོ	n.count -
ཁ་བློན་པོ	n.count -
ཁ་ཚར་	n.count -
ཁ་ཟས་རོ་	n.count -
ཁ་རག་སོ་གཅིག་	n.prop -
ཁ་ལོ་བསྒྱུར་བ	n.count -
ཁ་ལོ་བསྒྱུར་བ་	n.count -
ཁ་ལོ་སྒྱུར་བ་	n.count -
ཁ་ལོ་སྒྱུར་བ་མི་	n.count -
ཁ་ཤ་	n.prop -
ཁ་སྐོང་	n.count -
ཁ་སྤུ་	n.mass -
ཁ་སྤུ་མེ	n.count -
ཁང་གླིང་	n.count -
ཁང་པ	n.count -
ཁང་པ་	n.count -
ཁང་བཟང་	n.count -
ཁང་བཟངས་	n.count -
ཁང་བུ	n.count -
ཁད་	dunno -	n.count -
ཁད་པ	n.v.invar -
ཁད་པ་	n.v.invar -
ཁབ་	n.count -
ཁབ་གནས་	n.count -
ཁམ་	n.count -
ཁམ་པ	n.count -
ཁམས་	n.count -	n.prop -
ཁམས་ཀྱི་ཚོགས་	n.prop -
ཁམས་གསུམ་ཟང་	n.prop -
ཁམས་པ	n.prop -
ཁམས་པ་	n.prop -
ཁམས་མཐེ་བོང་ཅན་	n.count -
ཁམས་ཚོ་	n.prop -
ཁར་ས་པཱ་ཎི	n.prop -
ཁརས་པཱ་ཎི	n.prop -
ཁས་འཆེ་	n.count -
ཁུ་	n.prop -
ཁུ་ལུང་ལྷ་གྲལ་	n.prop -
ཁུ་སྟོན་ཤེས་རབ་བརྩོན་འགྲུས	n.prop -
ཁུངས་	n.count -
ཁུར་	n.count -	v.imp -	v.past -
ཁེ་	n.count -
ཁེ་སྤོགས་བྱེད་ཐབས་	n.count -
ཁེགས་	v.invar -
ཁེངས་	v.past -
ཁེངས་པ	n.v.past -
ཁེངས་པ་	n.v.invar -
ཁེབས་པ	n.v.invar -
ཁོ་	p.pers -
ཁོ་ན	d.emph -
ཁོ་ན་	d.emph -
ཁོ་བོ	p.pers -
ཁོ་བོ་	p.pers -
ཁོ་བོ་ཅག་	p.pers -
ཁོ་རེ་	n.prop -
ཁོག་པ་	n.v.pres -
ཁོང་	n.count -	n.rel -	p.pers -
ཁོམ	v.fut.v.pres -
ཁོར་མོ་	n.count -
ཁོར་ཡུག་དཔག་ཚད་	n.count -
ཁོལ་བ་	n.v.fut.n.v.pres -
ཁྱད་	n.count -
ཁྱད་ཆོས	n.count -
ཁྱད་པ	adv.proclausal -
ཁྱད་པར་	n.count -
ཁྱད་པར་ཅན་	adj -
ཁྱད་ཕྱིན	num.card -
ཁྱད་ཕྱིན་	num.card -
ཁྱབ	v.fut.v.pres -	v.invar -
ཁྱབ་	v.fut.v.pres -	v.invar -
ཁྱབ་པ	n.v.fut.n.v.pres -	n.v.invar -
ཁྱབ་པ་	n.v.fut.n.v.pres -	n.v.invar -
ཁྱབ་བ་	n.v.invar -
ཁྱབ་འཇུག་གླིང་	n.prop -
ཁྱམས་	n.count -
ཁྱི་	n.count -
ཁྱི་གྲོང་	n.count -
ཁྱི་མཇུག་	n.count -
ཁྱི་མོ་	n.count -
ཁྱི་མོ་རོ་སྨད་	n.count -
ཁྱི་ར་བྱེད་པ་	n.prop -
ཁྱིམ་	n.count -
ཁྱིམ་ཐབ་	n.count -
