།	punc -
ཀ	d.det -
ཀ་	d.det -	n.rel -
ཀ་ཁ་	n.count -
ཀ་ན་ཀ་ཤི	n.prop -
ཀ་ར་ཝ་ཏི་	n.count -
ཀ་ལ་ཅན་དྲ	n.prop -
ཀ་སོ་རི་པ་	n.prop -
ཀར་ཤ་པ་ནེ	n.count -
ཀི་	case.gen -
ཀུ་ཀུ་རི་པ	n.prop -
ཀུ་ཀུ་རི་པ་	n.prop -
ཀུ་ཀུ་རོ་པ་	n.prop -
ཀུ་ས་ཀ་མུ་ཏི་	n.prop -
ཀུ་སུ་ལུ	n.count -
ཀུ་སུ་ལུ་	n.count -
ཀུཎྜ་ལི	n.prop -
ཀུན	d.plural -
ཀུན་	d.plural -
ཀུན་གཞི	n.count -
ཀུན་ཏུ་བཟང་པོ	n.prop -
ཀུན་ཏུ་བཟང་པོ་	n.prop -
ཀོ་ལོང་	n.count -
ཀྱང་	cl.focus -
ཀྱི	case.gen -	cv.gen -
ཀྱི་	case.gen -	cv.gen -
ཀྱིན་	cv.cont -
ཀྱིས	case.agn -
ཀྱིས་	case.agn -	cv.agn -
ཀྱུ་	dunno -
ཀྲི་ཡ	n.count -
ཀྲི་ཡ་	n.prop -
ཀླག་ཤ་	n.count -
ཀླད་པ་	n.count -
ཀླད་རྒྱ་	n.count -
ཀླུ་	n.count -
ཀླུ་སྒྲུབ་	n.prop -
ཀློག་	n.count -
ཀློག་ཡིག་	n.count -
ཀློག་སྐད་	n.count -
ཀློག་སྐྱ་	n.prop -
ཀློང་	n.count -	n.rel -
ཁ	n.count -	n.rel -
ཁ་	n.count -
ཁ་གཏམ་	n.count -
ཁ་གཏིང་	n.count -
ཁ་ཆར་བུ་ཡུག་	n.count -
ཁ་ཆེ	n.prop -
ཁ་ཆེ་ལ་བར་	n.prop -
ཁ་ཆེམས་	n.count -
ཁ་བ་ཅན་	adj -	n.count -
ཁ་བ་ཅན་ལྗོངས་	n.count -
ཁ་མཚུལ་	n.count -
ཁ་ཟས་	n.count -
ཁ་འཐོར་	adj -
ཁ་འཛིན་	n.count -
ཁ་རག་	n.prop -
ཁ་རག་གཉོས་	n.prop -
ཁ་རླངས་	n.count -
ཁ་ལ་བྱ་ལ་	n.prop -
ཁ་ལེ	n.count -
ཁ་ལོག་	n.count -
ཁ་སང་	adv.temp -
ཁ་སེང་	adv.temp -
ཁ་སྐྱུར་	n.count -
ཁག་	n.count -
ཁང་ཞིང་	n.count -
ཁང་ཞིང་ནོར་	n.count -
ཁང་སྟོང་	n.count -
ཁད	v.invar -
ཁད་	n.count -
ཁད་པ་	n.v.invar -
ཁབ་	n.count -
ཁབ་གུང་ཐང་	n.prop -
ཁམས་	n.count -
ཁར	dunno -
ཁར་སརྦ་ཎི་	n.prop -
ཁལ་མ་	n.count -
ཁས་ལེན་	n.count -
ཁུངས་	n.count -
ཁུམས	v.past -
ཁུར	v.fut.v.past -
ཁུར་	n.count -	v.imp -	v.past -
ཁུར་བ་	n.v.fut -
ཁེ་	n.count -
ཁེ་ཉེན་	n.count -
ཁེགས་	v.invar -
ཁེངས་པ་	n.v.invar -
ཁེལ་བ་	n.v.fut.n.v.pres -
ཁོ	p.pers -
ཁོ་	p.pers -
ཁོ་ན	d.emph -
ཁོ་ན་	d.emph -
ཁོ་བ	p.pers -
ཁོ་བོ	p.pers -
ཁོ་བོ་	p.pers -
ཁོག་པ་	n.v.pres -
ཁོང་	n.rel -	p.pers -
ཁོང་གསེང་	n.count -
ཁོང་ཅན་	dunno -
ཁོང་རྒྱུད་	n.count -
ཁོང་སྙིང་	n.count -
ཁོར་ཡུག་	n.count -
ཁོལ་མ	adj -
ཁྭ་ཏ	n.count -
ཁྭ་ཏ་	n.count -
ཁྭ་ཏྭ	n.count -
ཁྱད་	n.count -
ཁྱད་ཆོས་	n.count -
ཁྱད་པ	adv.proclausal -
ཁྱད་པར་	n.count -
ཁྱད་པར་ཅན	adj -
ཁྱད་པར་ཅན་	adj -
ཁྱབ	v.fut.v.pres -	v.invar -
ཁྱབ་	v.invar -
ཁྱབ་པ	n.v.invar -
ཁྱབ་པ་	n.v.fut.n.v.pres -
ཁྱི	n.count -
ཁྱི་	n.count -
ཁྱི་མོ་	n.count -
ཁྱི་ར་བ	n.count -
ཁྱི་ར་བ་	n.count -
ཁྱིམ་	n.count -
ཁྱུང་	n.count -
ཁྱུང་ཆེན་	n.count -
ཁྱུང་རུ་	n.count -
ཁྱེད	p.pers -
ཁྱེད་	p.pers -
ཁྱེད་ཅག་	p.pers -
ཁྱེད་ཅན་	dunno -
ཁྱེའུ་	n.count -
ཁྱེར	v.fut.v.past -
ཁྱེར་	v.fut -	v.fut.v.past -	v.imp -	v.past -
ཁྱེར་བ	n.v.fut -
ཁྱེར་བ་	n.v.fut.n.v.pres -
ཁྱོད	dunno -	p.pers -
ཁྱོད་	p.pers -
ཁྲ	n.count -
ཁྲ་	n.count -
ཁྲ་ལམ་མེ་	adj -
ཁྲ་ལམ་མེ་བ	adj -
ཁྲག་	n.mass -
ཁྲི	n.count -
ཁྲི་སྒོ་རྩེགས་པ	n.count -
ཁྲི་སྙན་	dunno -
ཁྲིད	v.fut.v.past -	v.imp -
ཁྲིད་	v.fut.v.past -	v.imp -	v.past -
ཁྲིམས་	n.count -
ཁྲུ་	n.count -
ཁྲུས་	n.count -
ཁྲེམས་པ	n.v.invar -
ཁྲེལ་	n.count -	v.past.v.pres -
ཁྲེལ་མེད་ཤོ་གམ་	n.count -
ཁྲེས་པོ་	n.count -
ཁྲོ་བོ་	n.count -
ཁྲོད་	n.rel -
ཁྲོམ་	n.count -
ཁྲོམ་གཞུག་	n.count -
ཁྲོམ་ཐོག་	n.count -
ཁྲོལ་	v.imp -
ཁྲོས་	v.past -
ག	p.interrog -
ག་	p.interrog -
ག་རེ	p.interrog -
གང་	adj -	p.interrog -
གང་ག	n.prop -
གང་ག་	n.prop -
གང་གཱ	n.prop -
གང་བ	n.v.invar -
གང་བུ་	n.count -
གང་ཟག་	n.count -
གངས་	n.mass -
གངས་ཅན་	adj -
གངས་ཅན་ལྗོངས་	n.count -
གངས་རི་	n.count -
གཅགས	v.fut.v.past -
གཅགས་	v.fut.v.past -
གཅགས་པ་	n.v.invar -
གཅན་གཟན་	n.count -
གཅིག	num.card -
གཅིག་	num.card -
གཅིག་ཆོག་	adj -
གཅིག་པ	adj -
གཅིག་པུ	adj -
གཅིག་པུ་	adj -
གཅིག་བརྒྱུད་	n.count -
གཅུན་	v.fut.v.pres -
གཅེར་བུ	adj -
གཅེས་པ	n.v.invar -
གཅེས་ཕྲུག་	n.count -
གཅེས་འགྲོ་	n.count -
གཅོད	v.pres -
གཅོད་	v.pres -
གཅོད་པ	n.v.pres -
གཇིགས་པ་	n.v.invar -
གཉན་པ	n.v.past.n.v.pres -
གཉིད་	n.count -
གཉིས	num.card -
གཉིས་	num.card -
གཉིས་པ	num.ord -
གཉིས་པ་	num.ord -
གཉིས་པོ	num.card -
གཉིས་པོ་	num.card -
གཉིས་མེད་	adj -
གཉིས་མེད་ཟུང་འཇུག་	n.count -
གཉིས་མེད་རྡོ་རྗེ	n.prop -
གཉིས་མེད་ཨ་ཝ་དྷཱུ་ཏི་པ	n.prop -
གཉིས་སུ་མེད་པ་མཉམ་པ་ཉིད་རྣམ་པར་རྒྱལ་པ་	n.prop -
གཉུག་མ	adj -	n.count -
གཉུག་མ་	adj -	n.count -
གཉེན་	n.count -
གཉེན་པོ	adj -	n.count -
གཉེན་པོ་	adj -
གཉེས་པ	n.v.invar -
གཉོས་	n.prop -
གཏང་	v.fut -
གཏང་བ	n.v.fut -
གཏང་རག་	n.count -
གཏད་	v.fut.v.past -	v.past -
གཏད་པ	n.v.fut.n.v.past -
གཏན་	n.count -
གཏམ་	n.count -
གཏམ་དཔེ་	n.count -
གཏམ་ཚིག་	n.count -
གཏམ་སྙན་	n.count -
གཏི་མུག་	n.count -
གཏིང་	n.count -	n.rel -
གཏུགས	v.invar -
གཏུགས་	v.invar -
གཏུམ་	v.invar -
གཏུམ་མོ	adj -	n.prop -
གཏུམ་མོ་	n.count -
གཏུམས་	v.past -
གཏེར་	n.count -
གཏེར་བདག་པོ	n.count -
གཏེར་མཛོད་	n.count -
གཏེར་ལྡན་	adj -
གཏོགས	v.past -
གཏོགས་	v.invar -	v.past -
གཏོགས་པ	n.v.past -
གཏོང་	v.pres -
གཏོང་བ	n.v.pres -
གཏོང་བ་	n.v.pres -
གཏོང་མཁན་	n.v.pres -
གཏོར	v.invar -
གཏོར་	v.invar -
གཏོར་མ་	n.count -
གད	v.invar -
གདག་	v.fut -
གདན་	n.count -
གདན་བཞི	n.prop -
གདན་བཞི་	n.prop -
གདན་བཞི་གསང་འདུས་བདེ་མཆོག་སྐོར	n.count -
གདན་འདྲེན་	n.count -
གདན་ས་	n.count -
གདབ་	v.fut -
གདབས་	dunno -
གདམས་ངག་	n.count -
གདམས་ངག་ཆོས་	n.count -
གདམས་ངག་ཉམས་ལེན་	n.count -
གདམས་ངག་རིན་ཆེན་	n.count -
གདམས་དག་	n.count -
གདམས་པ	n.v.fut.n.v.past -
གདམས་པ་	n.count -	n.v.fut.n.v.past -
གདའ	v.invar -
གདའ་	v.fut.v.pres -	v.invar -
གདའ་བ	n.v.invar -
གདའ་བ་	n.v.invar -
གདལ་བ	n.v.fut.n.v.pres -
གདུག་པ་སྦྲུལ་	n.count -
གདུགས་	n.count -
གདུང་པ	n.v.fut.n.v.pres -
གདུང་བ	n.v.fut.n.v.pres -
གདུང་བ་	n.v.fut.n.v.pres -
གདུང་ཚན་	n.count -
གདུང་འཚོབ་	n.count -
གདུང་ཤུགས་	n.count -
གདུང་སེམས་	n.count -
གདུང་སེམས་ཅན	adj -
གདུངས་	v.past -
གདུངས་པ	n.v.past -
གདུངས་པ་	n.v.past -
གདུལ་བྱ	n.count -
གདུལ་བྱ་	n.count -
གདེང་	n.count -
གདེང་ཅན་	adj -
གདེངས	n.count -
གདེངས་	n.count -
གདོང་	n.count -
གདོང་པ་	n.count -
གདོད་	adv.temp -	n.count -
གདོན་	n.count -
གདོལ་པ	n.count -
གདོལ་པ་	n.count -
གདོལ་པ་ཅན་	n.count -
གནག་ལུག་	n.count -
གནང་	v.fut.v.pres -	v.invar -	v.past -	v.past.v.pres -
གནང་བ	n.v.invar -	n.v.past -
གནང་བ་	n.v.invar -
གནང་བྱིན་རླབས་	n.count -
