།	punc -
ཀ	d.det -	n.count -
ཀ་	d.det -	dunno -	n.count -
ཀ་ཆེན་	n.count -
ཀ་པཱ་ལ་	n.count -
ཀ་བ་	n.count -
ཀ་བཞི་གདུང་བརྒྱད་	n.prop -
ཀ་བཞི་གདུང་བརྒྱད་མ་	n.prop -
ཀུ་རེ་	n.count -
ཀུན	d.plural -
ཀུན་	d.plural -
ཀུན་གཞི་	n.count -
ཀེང་རུས་	n.count -
ཀོ་རོན་	n.prop -
ཀྱང་	cl.focus -
ཀྱལ་ཀྱོལ་	adj -
ཀྱི	case.gen -	cv.gen -
ཀྱི་	case.gen -	cv.cont -	cv.gen -
ཀྱི་ཧུད་	interj -
ཀྱིན་	cv.cont -
ཀྱིས	case.agn -
ཀྱིས་	case.agn -	cv.agn -
ཀྱུས་	dunno -
ཀྱེ་མ་	interj -
ཀྱེམ་པ་	n.count -
ཀྱོས་མ་	n.count -
ཀྲད་པ་	n.count -
ཀྲད་རྒྱུན་	n.count -
ཀླད་	n.count -
ཀླུ་	n.count -
ཀླུ་བརྒྱད་མཁན་	n.count -
ཀློག་	v.pres -
ཀློག་པ་	n.v.pres -
ཀློག་ལོ	n.v.pres -
ཀློགས	v.past -
ཀློགས་	v.imp -
ཀློགས་པ	n.v.past -
ཁ	d.det -	n.count -	n.rel -
ཁ་	dunno -	n.count -
ཁ་གང་	n.count -
ཁ་ཆེམས་	n.count -
ཁ་ཏ་	n.count -
ཁ་ཐབས་	n.count -
ཁ་ཕོ་	n.count -
ཁ་བསྒྱུར་	n.count -
ཁ་བྱང་བསྟན་	adj -
ཁ་ཚ་	adj -
ཁ་ཚིག་	n.count -
ཁ་ཞེ་	n.count -
ཁ་ཟས་	n.count -
ཁ་འཁོས་	dunno -
ཁ་འཆལ་	n.count -
ཁ་རོག་	adj -
ཁ་རླངས་	n.count -
ཁ་ལེ་བ་	adj -
ཁ་སང་	adv.temp -
ཁག་	n.count -
ཁག་ཁུར་	n.count -
ཁང་	n.count -
ཁང་གཞི	n.count -
ཁང་ཐོག་	n.count -
ཁང་པ་	n.count -
ཁང་བ	n.count -
ཁང་བ་	n.count -
ཁང་ཞིང་	n.count -
ཁང་ཞིང་གསེར་གཡུ་མཛོ་རྟ་གནག་ལུག་	n.count -
ཁད་པ་	n.v.invar -
ཁབ་	n.count -
ཁབ་སྐུད་	n.count -
ཁམ་	n.count -
ཁམས་	n.count -
ཁམས་དུབ་བསོ་བ་	n.count -
ཁམས་བདེ་	n.count -
ཁལ་	n.count -
ཁལ་བ་	n.count -
ཁུ་ལུང་	n.prop -
ཁུ་ལུང་པ་ཡོན་ཏན་རྒྱ་མཚོ་	n.prop -
ཁུག	v.imp -
ཁུག་	v.imp -
ཁུག་པ	n.v.invar -
ཁུགས་	v.past -
ཁུངས་	dunno -
ཁུར	n.count -	v.fut.v.past -
ཁུར་	n.count -
ཁེབས་	v.invar -
ཁེབས་བ་	n.v.past -
ཁེལ་	v.invar -
ཁེལ་བ་	n.v.fut.n.v.pres -
ཁོ	p.pers -
ཁོ་	p.pers -
ཁོ་ཐག་	n.count -
ཁོ་དེ	interj -
ཁོ་ན་	d.emph -
ཁོ་བོ་	p.pers -
ཁོ་རེ་	interj -
ཁོག་པ་	n.v.pres -
ཁོག་མ་	n.count -
ཁོང་	n.count -	n.rel -	p.pers -
ཁོང་འཛུམ་	n.count -
ཁོངས་	n.rel -
ཁོམ་པ་	n.v.invar -
ཁོར་རེ་	dunno -
ཁོལ	v.imp -
ཁོལ་བ་	n.v.fut.n.v.pres -
ཁྱད་	n.count -
ཁྱད་ཆོས	n.count -
ཁྱད་ཆོས་	n.count -
ཁྱད་པ	adv.proclausal -
ཁྱད་པར་	n.count -
ཁྱད་པར་ཅན་	adj -
ཁྱད་པར་བ	n.count -
ཁྱད་པར་བ་	adj -
ཁྱབ་	v.invar -
ཁྱབ་པ	n.v.fut.n.v.pres -
ཁྱབ་པ་	n.v.fut.n.v.pres -	n.v.invar -
ཁྱམས་	n.count -
ཁྱི	n.count -
ཁྱི་	n.count -
ཁྱི་མེད་	adj -
ཁྱི་ར་བ་	n.count -
ཁྱི་ལུད་	n.count -
ཁྱིམ་	n.count -
ཁྱིམ་ཐབ་	n.count -
ཁྱིམ་མཛེས་	n.count -
ཁྱིམ་མཛེས་པ་	n.count -
ཁྱིམ་སོ་	n.count -
ཁྱུང་	n.count -
ཁྱུང་གཤོག་	n.count -
ཁྱུང་གཤོག་སྒྲོ་	n.count -
ཁྱུང་ཆེན་	n.count -
ཁྱུང་རྭ་	n.count -
ཁྱུང་སྡིང་	n.prop -
ཁྱེ་ཆུང་	n.count -
ཁྱེ་ཉེན་	n.count -
ཁྱེད་	p.pers -
ཁྱེད་པ་	n.v.invar -
ཁྱེམ་	n.count -
ཁྱེར	v.fut.v.past -	v.imp -
ཁྱེར་	v.fut.v.past -	v.imp -	v.past -
ཁྱེར་བ	n.v.fut -
ཁྱོད	p.pers -
ཁྱོད་	p.pers -
ཁྲ་	dunno -	n.count -
ཁྲ་ལམ་མེ་	adj -
ཁྲག་	n.mass -
ཁྲག་འཐུང་དམ་ཅན་རྒྱ་མཚོ	n.count -
ཁྲབ་	n.count -
ཁྲབ་ཅན་	adj -
ཁྲམ་པ་	n.count -
ཁྲམ་མ་	n.count -
ཁྲི་	n.count -	num.card -
ཁྲིག་པ་གང་	adj -
ཁྲིད	v.fut.v.past -
ཁྲིད་	v.fut.v.past -	v.imp -	v.past -
ཁྲུ་	n.count -
ཁྲུ་ཀློག་འཕྲོ་	n.count -
ཁྲུགས་	adv.temp -
ཁྲུས་	v.imp -
ཁྲུས་མ་	n.count -
ཁྲེ་ལོག་ལོག་	adv.mim -
ཁྲེལ་	v.invar -
ཁྲེལ་བ	n.v.fut.n.v.pres -
ཁྲོ་	n.count -
ཁྲོད་	n.rel -
ཁྲོལ་	v.invar -
ཁྲོས་	v.past -
